name	street_address	postal_code	opening_date	latitude	longitude
3304 EASTWAY DRIVE	3304 EASTWAY DRIVE	28205	1991 	35.2224	-80.7922
1550 NORTH CASS STREET	1550 NORTH CASS STREET	46992	1991 	40.7951	-85.8295
6590 GRAND AVENUE	6590 GRAND AVENUE	60031	1991 	42.3758	-87.9352
3915 GATEWAY DRIVE	3915 GATEWAY DRIVE	54701	1991 	44.7804	-91.4807
1135 BERKSHIRE BLVD	1135 BERKSHIRE BLVD	19610	1991 	40.335	-75.971
7904 SOUTH 83RD STREET	7904 SOUTH 83RD STREET	68128	1991 	41.1831	-96.051
2500 EAST LAKE SHORE DRIVE	2500 EAST LAKE SHORE DRIVE	54806	1991 	46.5772	-90.8971
17850 GARLAND GROH B	17850 GARLAND GROH B	21740	1991 	39.6339	-77.7302
180 LEBANON TRADE CENTER	180 LEBANON TRADE CENTER	40033	1991 	37.5659	-85.2515
730 EAST HWY 66	730 EAST HWY 66	47586	1991 	37.9716	-86.739
2863 HERITAGE DRIVE	2863 HERITAGE DRIVE	53018	1991 	43.0535	-88.3984
3107 MARKET PLACE	3107 MARKET PLACE	54650	1991 	43.8997	-91.2296
930 EAST MOUNT PROSPECT PLAZA	930 EAST MOUNT PROSPECT PLAZA	60056	1991 	42.0654	-87.9362
2448 CHESAPEAKE SQ RING ROAD	2448 CHESAPEAKE SQ RING ROAD	23321	1991 	36.8262	-76.4152
524 S FREMONT	524 S FREMONT	51601	1991 	40.7501	-95.3651
72 BEDFORD SQUARE	72 BEDFORD SQUARE	15537	1991 	40.004	-78.3646
1730 NO. GARFIELD ROAD	1730 NO. GARFIELD ROAD	57501	1991 	44.4254	-100.291
5469 SOUTH REDWOOD ROAD	5469 SOUTH REDWOOD ROAD	84123	1991 	40.6595	-111.922
1200 NORTH MAIN	1200 NORTH MAIN	23434	1991 	36.7359	-76.5966
657 PHOENIX DRIVE	657 PHOENIX DRIVE	23452	1991 	36.8392	-76.0933
5650 SOUTH CHAMBERS ROAD	5650 SOUTH CHAMBERS ROAD	80015	1991 	39.6239	-104.777
4224 NORTH PROSPECT	4224 NORTH PROSPECT	62526	1991 	39.878	-88.9564
2050 WEST REDLANDS BLVD	2050 WEST REDLANDS BLVD	92374	1991 	34.0633	-117.169
364 US 70 WEST, SUITE 1	364 US 70 WEST, SUITE 1	28752	1991 	35.7091	-82.0172
3300 HIGHWAY 210 WEST	3300 HIGHWAY 210 WEST	56537	1991 	46.2821	-96.068
